GitHub, creationDate, endDate, lifeSpan, RestrictedContributionsCount, CommitContributions, PullRequestReviewContributions, commitComments, issueComments, gistComments, repositoryDiscussionComments, issues, gists, projects, pullRequests, repositoryDiscussions, repoACount, forkACount, stargazerACount, Awatchers, repoASize, AlanguageInfo, repoBCount, forkBCount, stargazerBCount, Bwatchers, repoBSize, BlanguageInfo, repoCCount, forkCCount, stargazerCCount, Cwatchers, repoCSize, ClanguageInfo, repoDCount, forkDCount, stargazerDCount, Dwatchers, repoDSize, DlanguageInfo
USER1,2020-09-29T00:34:40Z,2020-08-10T00:00:00Z,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER2,2014-04-15T11:10:43Z,2020-08-10T00:00:00Z,2308,0,64,1,0,15,0,0,3,0,0,34,0,5,0,0,0,1181035,C: 872354; Assembly: 124177; Makefile: 117451; Yacc: 28032; C++: 23017; Lex: 2400; Shell: 720; Python: 12884,4,2,2,6,147150,JavaScript: 3634; HTML: 861; Java: 73762; TSQL: 31706; Shell: 235; PHP: 33360; CSS: 3592,3,0,1,0,1268640,Shell: 335230; Go: 599551; HTML: 115745; Jsonnet: 101186; Python: 42214; Dockerfile: 29048; Makefile: 44745; Awk: 921,0,0,0,0,0,
USER3,2015-08-25T22:24:03Z,2020-08-10T00:00:00Z,1811,0,26,0,0,8,0,0,4,0,0,4,0,7,2,3,14,158770,Java: 76602; C: 73930; Makefile: 1023; HTML: 7215,0,0,0,0,0,,0,0,0,0,0,,2,3,0,16,91330724,C: 15695539; Python: 709178; Shell: 436424; Makefile: 156833; Ruby: 5333; Java: 74279226; HTML: 37324; NSIS: 4978; CSS: 2656; Batchfile: 1983; Perl: 1250
USER4,2018-03-10T17:21:50Z,2020-08-10T00:00:00Z,883,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,,0,0,0,0,0,,2,0,0,0,41115,C++: 37867; Makefile: 2773; Dockerfile: 398; C: 77,0,0,0,0,0,
USER5,2013-11-02T18:42:49Z,2020-08-10T00:00:00Z,2472,380,22,1,0,12,0,0,1,0,0,11,0,0,0,0,0,0,,2,0,0,4,10806,Java: 10806,0,0,0,0,0,,0,0,0,0,0,
USER6,2019-11-06T16:35:07Z,2020-08-10T00:00:00Z,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER7,2019-09-27T01:08:24Z,2020-08-10T00:00:00Z,317,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10930,HTML: 10930,0,0,0,0,0,,3,0,0,0,664263,Python: 633574; C: 29228; Batchfile: 940; Shell: 521,0,0,0,0,0,
USER8,2020-04-04T18:31:00Z,2020-08-10T00:00:00Z,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER9,2016-04-22T10:09:52Z,2020-08-10T00:00:00Z,1570,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,,1,7,2,1,357523,Java: 357523,0,0,0,0,0,,0,0,0,0,0,
USER10,2014-12-23T14:13:30Z,2020-08-10T00:00:00Z,2056,0,29,0,0,0,0,0,0,0,0,1,0,4,0,0,2,87975,Hack: 10321; Java: 2612; HTML: 49153; CSS: 19507; JavaScript: 5082; PHP: 1300,1,0,0,2,51978,TeX: 51978,1,0,0,0,7797352,Java: 7501151; SQLPL: 224564; XSLT: 32167; CSS: 24072; JavaScript: 7948; HTML: 7450,0,0,0,0,0,
USER11,2020-08-14T01:21:45Z,2020-08-10T00:00:00Z,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER12,2014-10-15T13:20:29Z,2020-08-10T00:00:00Z,2125,0,47,0,0,2,0,0,1,0,0,2,0,12,4,5,24,845537,JavaScript: 65029; CSS: 229678; HTML: 24810; PHP: 51521; Java: 440256; Python: 34243,0,0,0,0,0,,5,0,0,6,567662,Python: 227013; Swift: 3514; JavaScript: 229924; Jupyter Notebook: 96457; Vue: 10470; HTML: 284,0,0,0,0,0,
USER13,2018-11-10T23:59:50Z,2020-08-10T00:00:00Z,638,0,135,0,0,0,0,0,0,0,1,1,0,2,0,0,1,89670,Python: 84165; C++: 5505,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER14,2020-04-28T02:01:30Z,2020-08-10T00:00:00Z,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER15,2016-12-27T15:41:12Z,2020-08-10T00:00:00Z,1321,364,137,0,0,0,0,0,0,0,0,0,0,12,0,1,11,123472,Assembly: 75905; HTML: 3045; Python: 12856; C++: 10314; Java: 16715; JavaScript: 3707; CSS: 930,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER16,2017-06-27T02:52:43Z,2020-08-10T00:00:00Z,1139,1765,4,2,0,7,0,0,0,0,0,2,0,4,6,1,3,141495,JavaScript: 124431; HTML: 15964; CSS: 1100,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER17,2018-03-24T19:54:35Z,2020-08-10T00:00:00Z,869,0,14,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER18,2019-10-10T18:21:17Z,2020-08-10T00:00:00Z,304,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,4,56060,Shell: 4770; Python: 51290,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER19,2020-01-15T22:01:57Z,2020-08-10T00:00:00Z,207,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER20,2017-02-17T23:27:20Z,2020-08-10T00:00:00Z,1269,158,274,0,0,0,0,0,0,0,0,0,0,25,1,1,25,2881473,JavaScript: 138257; Ruby: 46390; HTML: 38898; SCSS: 5306; CSS: 10268; Python: 63187; R: 24199; Shell: 1901; Java: 2481692; PHP: 50753; Makefile: 1224; Dockerfile: 903; C++: 18083; CMake: 412,0,0,0,0,0,,2,0,0,0,0,,0,0,0,0,0,
USER21,2017-11-07T00:08:34Z,2020-08-10T00:00:00Z,1006,212,85,4,0,4,0,0,0,0,0,15,0,5,0,1,2,816505,HTML: 689514; Java: 75279; CSS: 35654; JavaScript: 2266; Python: 13792,3,1,2,7,371080,Java: 183946; API Blueprint: 55608; Shell: 499; JavaScript: 34993; CSS: 28297; HTML: 18990; Python: 48747,0,0,0,0,0,,0,0,0,0,0,
USER22,2014-10-04T03:08:58Z,2020-08-10T00:00:00Z,2136,168,51,0,0,3,0,0,0,0,0,4,0,4,0,0,5,94080,Python: 11271; Jupyter Notebook: 39253; HTML: 30442; CSS: 11567; Ruby: 1039; JavaScript: 508,0,0,0,0,0,,2,0,0,1,0,,0,0,0,0,0,
USER23,2019-09-11T20:37:29Z,2020-08-10T00:00:00Z,333,1,13,0,0,0,0,0,0,0,0,0,0,2,0,0,2,528760,Vue: 431129; JavaScript: 93447; HTML: 4184,0,0,0,0,0,,4,0,1,0,2050541,Python: 45241; TypeScript: 1295862; JavaScript: 165772; Vue: 457893; HTML: 3356; Dockerfile: 721; Shell: 278; CSS: 16771; Swift: 64647,0,0,0,0,0,
USER24,2020-01-23T22:16:28Z,2020-08-10T00:00:00Z,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER25,2020-08-21T18:30:36Z,2020-08-10T00:00:00Z,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER26,2020-08-21T18:34:27Z,2020-08-10T00:00:00Z,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER27,2019-10-03T16:45:30Z,2020-08-10T00:00:00Z,311,0,9,0,0,0,0,0,0,0,0,0,0,11,1,0,20,1730961,Python: 10941; Java: 107890; C: 1278426; Makefile: 115689; Assembly: 163790; Yacc: 42048; Lex: 3600; Shell: 720; C++: 7857,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER28,2020-08-21T18:22:18Z,2020-08-10T00:00:00Z,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER29,2019-04-22T10:19:45Z,2020-08-10T00:00:00Z,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER30,2019-01-17T18:58:06Z,2020-08-10T00:00:00Z,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER31,2014-04-27T18:05:35Z,2020-08-10T00:00:00Z,2296,0,82,0,0,3,0,0,0,0,0,1,0,11,0,1,12,58279436,C: 54590784; C#: 10623; C++: 1302151; Processing: 2565; Assembly: 1155170; HTML: 577823; Makefile: 479112; Batchfile: 644; Verilog: 130544; SystemVerilog: 15044; Tcl: 14976,1,0,0,2,99521,C: 83015; Assembly: 16320; C++: 186,1,0,0,0,21636,SCSS: 17812; JavaScript: 2877; HTML: 947,0,0,0,0,0,
USER32,2015-02-12T11:20:14Z,2020-08-10T00:00:00Z,2005,87,33,1,0,0,0,0,0,0,0,0,0,3,0,0,4,108723,C++: 7913; Makefile: 1475; C: 83015; Assembly: 16320,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER33,2017-01-01T16:58:46Z,2020-08-10T00:00:00Z,1316,0,4,1,0,5,0,0,9,0,0,0,0,4,0,1,0,506875,Java: 104642; PLSQL: 28037; TypeScript: 155859; HTML: 80184; CSS: 12612; JavaScript: 125541,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER34,2020-08-11T17:41:24Z,2020-08-10T00:00:00Z,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER35,2017-11-13T09:28:37Z,2020-08-10T00:00:00Z,1000,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,84152,C: 79597; Shell: 3023; Makefile: 1532,0,0,0,0,0,,2,0,0,1,420603,C: 140959; Python: 162821; Java: 27404; C++: 19793; JavaScript: 13725; Ruby: 12473; Go: 8872; PHP: 8807; Rebol: 8058; Erlang: 5443; TeX: 3639; Scheme: 3300; Makefile: 2272; HTML: 1287; CSS: 456; Shell: 1294,0,0,0,0,0,
USER36,2020-07-30T00:37:57Z,2020-08-10T00:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,230318,C: 212782; Batchfile: 8448; Shell: 8188; HTML: 900,0,0,0,0,0,
USER37,2018-09-04T15:52:31Z,2020-08-10T00:00:00Z,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2,0,0,1,161651,C++: 155979; Makefile: 5197; Dockerfile: 398; C: 77,0,0,0,0,0,
USER38,2018-09-04T19:35:58Z,2020-08-10T00:00:00Z,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,0,0,1,3111,C++: 2175; Makefile: 660; Dockerfile: 199; C: 77,0,0,0,0,0,
USER39,2020-09-18T22:32:27Z,2020-08-10T00:00:00Z,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER40,2018-08-27T23:20:07Z,2020-08-10T00:00:00Z,713,0,178,7,0,1,0,0,1,0,0,5,0,22,1,0,3,376948,JavaScript: 174849; CSS: 39247; HTML: 162852,1,0,0,0,121062,JavaScript: 117637; HTML: 2126; CSS: 1299,2,0,0,0,27605,JavaScript: 21415; HTML: 3091; CSS: 3099,0,0,0,0,0,
USER41,2019-12-29T01:50:50Z,2020-08-10T00:00:00Z,224,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,12114,C#: 12114,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER42,2018-12-22T13:42:17Z,2020-08-10T00:00:00Z,596,0,25,0,0,0,0,0,0,0,0,0,0,4,2,0,3,38986,C#: 13901; C++: 24362; C: 723,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER43,2020-04-11T19:38:12Z,2020-08-10T00:00:00Z,120,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER44,2017-11-06T03:17:35Z,2020-08-10T00:00:00Z,1007,110,61,0,0,0,0,0,0,2,0,0,0,5,0,0,0,58412,Visual Basic: 1216; C++: 2959; Python: 2660; CSS: 34618; HTML: 14215; JavaScript: 2744,1,0,0,0,31396,Python: 31396,1,0,0,0,20151,Shell: 20151,0,0,0,0,0,
USER45,2019-02-04T17:46:50Z,2020-08-10T00:00:00Z,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER46,2017-09-07T19:47:09Z,2020-08-10T00:00:00Z,1067,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7344,Python: 7344,0,0,0,0,0,,1,0,0,0,5270307,Vim script: 5269045; Shell: 1262,0,0,0,0,0,
USER47,2019-01-29T23:52:21Z,2020-08-10T00:00:00Z,558,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER48,2018-09-04T22:07:43Z,2020-08-10T00:00:00Z,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2,0,0,1,31673,C++: 29865; Makefile: 1532; Dockerfile: 199; C: 77,0,0,0,0,0,
USER49,2020-08-21T18:25:18Z,2020-08-10T00:00:00Z,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER50,2019-08-06T16:30:21Z,2020-08-10T00:00:00Z,369,12,17,0,0,0,0,0,0,0,0,0,0,5,0,1,8,1401276,C: 14758; Shell: 5338; C++: 913; Makefile: 338; HTML: 1249986; Java: 103654; CSS: 12842; JavaScript: 827; Python: 12620,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER51,2018-08-03T01:20:21Z,2020-08-10T00:00:00Z,737,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER52,2016-01-08T16:04:41Z,2020-08-10T00:00:00Z,1675,0,11,0,0,0,0,0,0,0,0,4,0,3,0,0,3,95190,Python: 1272; Java: 93918,2,1,0,3,31037,Python: 31037,4,0,0,4,13082,Python: 2420; Swift: 10662,0,0,0,0,0,
