GitHub,creationDate,endDate,RestrictedContributionsCount,CommitContributions,PullRequestReviewContributions,commitComments,issueComments,gistComments,repositoryDiscussionComments,issues,gists,projects,pullRequests,repositoryDiscussions,repoACount,forkACount,stargazerACount,Awatchers,repoASize,AlanguageInfo,repoBCount,forkBCount,stargazerBCount,Bwatchers,repoBSize,BlanguageInfo,repoCCount,forkCCount,stargazerCCount,Cwatchers,repoCSize,ClanguageInfo,repoDCount,forkDCount,stargazerDCount,Dwatchers,repoDSize,DlanguageInfo
USER1,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER2,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,75,1,0,15,0,0,2,0,0,34,0,5,0,0,0,1181035,C: 872354; Assembly: 124177; Makefile: 117451; Yacc: 28032; C++: 23017; Lex: 2400; Shell: 720; Python: 12884,2,0,0,3,105703,Java: 73762; TSQL: 31706; Shell: 235,3,0,1,0,1268640,Shell: 335230; Go: 599551; HTML: 115745; Jsonnet: 101186; Python: 42214; Dockerfile: 29048; Makefile: 44745; Awk: 921,0,0,0,0,0,
USER3,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER4,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER5,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,275,17,1,0,12,0,0,1,0,0,11,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER6,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER7,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10930,HTML: 10930,0,0,0,0,0,,3,0,0,0,664263,Python: 633574; C: 29228; Batchfile: 940; Shell: 521,0,0,0,0,0,
USER8,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER9,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER10,2019-08-11T00:00:00Z,2020-08-10T00:00:00Z,0,24,0,0,0,0,0,0,0,0,1,0,3,0,0,1,77654,Java: 2612; HTML: 49153; CSS: 19507; JavaScript: 5082; PHP: 1300,1,0,0,2,51978,TeX: 51978,1,0,0,0,7797352,Java: 7501151; SQLPL: 224564; XSLT: 32167; CSS: 24072; JavaScript: 7948; HTML: 7450,0,0,0,0,0,
