GitHub, creationDate, endDate, lifeSpan, RestrictedContributionsCount, CommitContributions, PullRequestReviewContributions, commitComments, issueComments, gistComments, repositoryDiscussionComments, issues, gists, projects, pullRequests, repositoryDiscussions, repoACount, forkACount, stargazerACount, Awatchers, repoASize, AlanguageInfo, repoBCount, forkBCount, stargazerBCount, Bwatchers, repoBSize, BlanguageInfo, repoCCount, forkCCount, stargazerCCount, Cwatchers, repoCSize, ClanguageInfo, repoDCount, forkDCount, stargazerDCount, Dwatchers, repoDSize, DlanguageInfo
USER1,2018-08-23T21:31:41Z,2019-01-07T00:00:00Z,136,0,36,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1028237,C: 525145; Makefile: 110872; Assembly: 108319; Yacc: 28032; Lex: 2400; Shell: 480; PHP: 32725; HTML: 1178; JavaScript: 219086,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER2,2016-06-05T06:58:52Z,2019-01-07T00:00:00Z,945,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER3,2017-11-23T06:12:16Z,2019-01-07T00:00:00Z,409,0,67,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1876242,C: 1298874; Assembly: 163970; Makefile: 162430; Yacc: 42048; Lex: 3600; Shell: 720; SQLPL: 38555; Java: 24078; Jupyter Notebook: 131194; Python: 10773,0,0,0,0,0,,1,0,0,0,121103,JavaScript: 121015; Shell: 88,2,1,0,2,3229923,Ruby: 1999210; HTML: 617874; JavaScript: 510007; CSS: 95839; Shell: 6567; CoffeeScript: 426
USER4,2019-01-06T23:23:21Z,2019-01-07T00:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12027,Java: 12027,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER5,2014-09-30T14:50:06Z,2019-01-07T00:00:00Z,1559,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,3,41504,Python: 31096; HTML: 8018; JavaScript: 2390,0,0,0,0,0,,0,0,0,0,0,
USER6,2016-01-18T05:58:41Z,2019-01-07T00:00:00Z,1084,21,29,0,0,0,0,0,0,0,0,0,0,10,0,0,12,548451,Java: 88829; Python: 158792; Prolog: 1888; HTML: 19970; JavaScript: 135330; C: 63271; Makefile: 3224; Shell: 739; CSS: 76408,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER7,2018-09-25T01:43:58Z,2019-01-07T00:00:00Z,103,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,21333,Java: 21333,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER8,2019-02-07T02:57:43Z,2019-01-07T00:00:00Z,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER9,2017-03-16T14:57:00Z,2019-01-07T00:00:00Z,661,0,115,0,0,7,0,0,3,0,0,1,0,9,3,1,13,363079,C++: 37996; C: 26722; Batchfile: 264; Python: 100064; JavaScript: 44048; HTML: 18899; Java: 131042; CSS: 3746; Shell: 298,0,0,0,0,0,,3,0,0,3,761094,Makefile: 670; Awk: 151; Java: 71277; CSS: 1975; HTML: 789; C++: 640680; Python: 12312; QMake: 11767; Shell: 10510; CMake: 7117; Meson: 2192; Batchfile: 1580; Ruby: 74,0,0,0,0,0,
USER10,2015-11-04T14:21:35Z,2019-01-07T00:00:00Z,1159,0,155,0,0,33,0,0,4,0,0,37,0,2,0,0,1,193829,JavaScript: 92732; Python: 65636; HTML: 28351; CSS: 6763; Shell: 168; Java: 179,7,3,1,15,11944810,Java: 664367; JavaScript: 667112; CSS: 574311; HTML: 8119757; PHP: 1830914; ApacheConf: 280; Python: 87721; Shell: 298; Batchfile: 50,2,0,1,0,2988005,Python: 2424818; HTML: 146869; Makefile: 4381; JavaScript: 314215; CSS: 83493; Shell: 9812; Ruby: 3191; Mako: 1181; Vim script: 45,0,0,0,0,0,
