GitHub,creationDate,endDate,RestrictedContributionsCount,CommitContributions,PullRequestReviewContributions,commitComments,issueComments,gistComments,repositoryDiscussionComments,issues,gists,projects,pullRequests,repositoryDiscussions,repoACount,forkACount,stargazerACount,Awatchers,repoASize,AlanguageInfo,repoBCount,forkBCount,stargazerBCount,Bwatchers,repoBSize,BlanguageInfo,repoCCount,forkCCount,stargazerCCount,Cwatchers,repoCSize,ClanguageInfo,repoDCount,forkDCount,stargazerDCount,Dwatchers,repoDSize,DlanguageInfo
USER1,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,36,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1028237,C: 525145; Makefile: 110872; Assembly: 108319; Yacc: 28032; Lex: 2400; Shell: 480; PHP: 32725; HTML: 1178; JavaScript: 219086,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER2,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER3,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,19,0,0,0,0,0,0,0,0,0,0,3,1,0,0,166045,Java: 24078; Jupyter Notebook: 131194; Python: 10773,0,0,0,0,0,,1,0,0,0,121103,JavaScript: 121015; Shell: 88,2,1,0,2,3229923,Ruby: 1999210; HTML: 617874; JavaScript: 510007; CSS: 95839; Shell: 6567; CoffeeScript: 426
USER4,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12027,Java: 12027,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER5,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,3,41504,Python: 31096; HTML: 8018; JavaScript: 2390,0,0,0,0,0,,0,0,0,0,0,
USER6,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,21,29,0,0,0,0,0,0,0,0,0,0,10,0,0,12,548451,Java: 88829; Python: 158792; Prolog: 1888; HTML: 19970; JavaScript: 135330; C: 63271; Makefile: 3224; Shell: 739; CSS: 76408,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER7,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,47,0,0,0,0,0,0,0,0,3,0,1,0,0,1,21333,Java: 21333,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER8,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER9,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,101,0,0,7,0,0,3,0,0,1,0,7,3,1,11,344326,C: 26722; Batchfile: 264; Python: 87721; JavaScript: 44048; HTML: 18899; Java: 131042; CSS: 3746; C++: 31586; Shell: 298,0,0,0,0,0,,3,0,0,3,761094,Makefile: 670; Awk: 151; Java: 71277; CSS: 1975; HTML: 789; C++: 640680; Python: 12312; QMake: 11767; Shell: 10510; CMake: 7117; Meson: 2192; Batchfile: 1580; Ruby: 74,0,0,0,0,0,
USER10,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,85,0,0,33,0,0,4,0,0,36,0,1,0,0,0,179,Java: 179,3,3,1,7,285804,Python: 87721; JavaScript: 44048; HTML: 18899; Java: 131042; CSS: 3746; Shell: 298; Batchfile: 50,2,0,1,0,2988005,Python: 2424818; HTML: 146869; Makefile: 4381; JavaScript: 314215; CSS: 83493; Shell: 9812; Ruby: 3191; Mako: 1181; Vim Script: 45,0,0,0,0,0,
USER11,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER12,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER13,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER14,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3141,Python: 3141,0,0,0,0,0,,1,0,0,1,18671,C++: 17785; Makefile: 886,0,0,0,0,0,
USER15,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER16,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,1,3,0,,0,0,0,0,0,,0,0,0,0,0,
USER17,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER18,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER19,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,48,0,0,0,0,0,0,0,0,1,0,6,1,2,8,2230452,C: 1601919; Java: 160659; Assembly: 218080; Makefile: 177862; Yacc: 56064; Lex: 4800; Shell: 4891; Python: 5551; JavaScript: 626,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER20,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER21,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER22,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER23,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER24,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,152,3,0,5,0,0,6,0,0,2,0,14,3,11,15,4014579,Java: 53684; HTML: 21600; CSS: 6319; JavaScript: 4416; Python: 45275; Jupyter Notebook: 3883285,2,11,0,13,81230,HTML: 30474; JavaScript: 16615; Python: 34141,5,0,1,5,88549737,HTML: 4711039; JavaScript: 16403; C++: 41343240; Python: 37342074; Jupyter Notebook: 2166132; Go: 1047216; Java: 737396; Shell: 428147; C: 340737; CMake: 201232; Objective-C++: 94385; Makefile: 49184; PureBasic: 25356; Objective-C: 12456; Batchfile: 9274; Smarty: 6870; LLVM: 6536; Perl: 6179; PHP: 2140; Perl 6: 1357; Ruby: 533; Dockerfile: 1851,1,0,0,2,7669675,Java: 7373474; SQLPL: 224564; XSLT: 32167; CSS: 24072; JavaScript: 7948; HTML: 7450
USER25,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER26,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER27,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
USER28,2018-01-07T00:00:00Z,2019-01-07T00:00:00Z,0,27,0,0,0,0,0,0,0,0,0,0,3,1,0,3,71890,Java: 59829; SQLPL: 12061,0,0,0,0,0,,1,0,0,1,7912,JavaScript: 7552; HTML: 360,0,0,0,0,0,
